#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	dhcp
#open	2016-06-24-12-10-57
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	mac	assigned_ip	lease_time	trans_id
#types	time	string	addr	port	addr	port	string	addr	interval	count
1257542107.502030	CCgWbYtdGbaWFJWFa	255.255.255.255	68	192.168.1.5	67	00:1b:ae:00:0c:d1	192.168.1.112	3600.000000	2919238865
1257542519.144535	CNcQIy1I4rkQ2O268f	255.255.255.255	68	192.168.1.5	67	00:0d:9d:45:63:14	192.168.1.128	3600.000000	2112009723
1257543006.557555	Cb5Taj2X3dGgyU8wjd	255.255.255.255	68	192.168.1.5	67	00:26:4a:3c:c9:9c	192.168.1.103	3600.000000	49620878
1257543006.559191	Cb5Taj2X3dGgyU8wjd	255.255.255.255	68	192.168.1.5	67	00:26:4a:3c:c9:9c	192.168.1.103	3600.000000	49620879
1257543006.561506	Cb5Taj2X3dGgyU8wjd	255.255.255.255	68	192.168.1.5	67	00:26:4a:3c:c9:9c	192.168.1.103	3600.000000	49620879
1257543006.564252	Cb5Taj2X3dGgyU8wjd	255.255.255.255	68	192.168.1.5	67	00:26:4a:3c:c9:9c	192.168.1.103	3600.000000	49620879
1257543007.748104	Cb5Taj2X3dGgyU8wjd	255.255.255.255	68	192.168.1.5	67	00:26:4a:3c:c9:9c	192.168.1.103	3600.000000	49620880
1257543088.200536	CUEzmwY5F6Bcwfmql	255.255.255.255	68	192.168.1.5	67	00:00:00:00:00:00	255.255.255.255	0.000000	3146297458
1257543088.201175	CUEzmwY5F6Bcwfmql	255.255.255.255	68	192.168.1.5	67	00:00:00:00:00:00	255.255.255.255	0.000000	3146297458
1257543088.201718	CUEzmwY5F6Bcwfmql	255.255.255.255	68	192.168.1.5	67	00:00:00:00:00:00	255.255.255.255	0.000000	3146297458
1257543088.202290	CUEzmwY5F6Bcwfmql	255.255.255.255	68	192.168.1.5	67	00:00:00:00:00:00	255.255.255.255	0.000000	3146297458
1257543122.948266	CUEzmwY5F6Bcwfmql	255.255.255.255	68	192.168.1.5	67	00:22:5f:01:60:e9	192.168.1.107	3600.000000	1255267043
1257543148.648217	CUEzmwY5F6Bcwfmql	255.255.255.255	68	192.168.1.5	67	00:22:5f:01:60:e9	255.255.255.255	0.000000	846859462
1257543231.154433	CJb6NF4RlU4jEOUxf2	255.255.255.255	68	192.168.1.5	67	00:22:5f:01:60:e9	255.255.255.255	0.000000	318881336
1257543430.222325	CwYdv11eTl8goZSw6i	192.168.1.120	68	192.168.1.5	67	00:a0:d1:23:40:3f	192.168.1.120	3600.000000	2292711062
1257543514.174854	Cac2P53VwHHTPp0RB6	255.255.255.255	68	192.168.1.5	67	00:1b:ae:00:06:58	192.168.1.114	3600.000000	2919237208
1257545231.911499	CUj35Wu6GQfzMAkti	192.168.1.120	68	192.168.1.5	67	00:a0:d1:23:40:3f	192.168.1.120	3600.000000	4031675103
#close	2016-06-24-12-10-58
